slope_Outdoor view,r_value_Outdoor view,p_value_Outdoor view,std_err_Outdoor view,timestamp_Outdoor view,slope_Indoor w/ window view,r_value_Indoor w/ window view,p_value_Indoor w/ window view,std_err_Indoor w/ window view,timestamp_Indoor w/ window view,slope_Indoor w/o window view,r_value_Indoor w/o window view,p_value_Indoor w/o window view,std_err_Indoor w/o window view,timestamp_Indoor w/o window view
-1.223033158641546,-0.9169390509989717,8.774281057752355e-21,0.07682096188480617,20230414T1030,-1.0306223434123825,-0.9835809234425891,2.3611481377251235e-37,0.027294061339500734,20231114T1300,-1.362179710706895,-0.9463306525119484,3.440627700396836e-25,0.0671494329926817,20230626T1000
-1.0718215405065854,-0.9754920925777535,3.228120128880233e-33,0.0348954555461414,20230622T1400,-1.1605765816060158,-0.9881712139699391,9.494486574918869e-41,0.025996684562441995,20230803T1600,-1.334790882495444,-0.9904811243411775,5.297769670396952e-43,0.026774308794487285,20230612T1330
-1.0524509891929938,-0.9431840584911877,1.3031939942234236e-24,0.05351516681956453,20230210T1030,-1.2497051906791208,-0.9765497423821933,1.1331069221982833e-33,0.0397667655127562,20230614T1400,-1.3426676584498964,-0.9875595244913143,3.1626083690952835e-40,0.030857674220483564,20230612T1600
-0.9865618521156516,-0.9831064334534672,4.653432548840982e-37,0.026511655435990263,20230302T1230,-1.3612262772258445,-0.9926770726184687,1.0023993224771954e-45,0.023909062089771924,20240110T1200,-0.8531281921293848,-0.9390067389134099,6.821806859805879e-24,0.045097820351961165,20230626T1530
-1.4398589170007043,-0.9930412618444767,2.9586331979117735e-46,0.024646509376447568,20240315T1230,-1.11399114187997,-0.9866733074970955,1.633128555148351e-39,0.026516253132954904,20230310T1430,-1.385999007258074,-0.9888289663744056,2.422804796827084e-41,0.03015549893107451,20230621T1100
-1.0851215205612361,-0.982599321962542,9.410189265293123e-37,0.029606144890723312,20230614T1700,-1.5572501509772003,-0.9886036330581373,3.9028865840896186e-41,0.0342273193709869,20230619T1430,-1.4522626993475902,-0.9767755953390225,9.005190760461222e-34,0.04598124692109778,20230404T1530
-1.1066558239830482,-0.9729330679346283,3.4018819343933843e-32,0.0379388954998917,20230623T2100,-1.5193810282108058,-0.9944744735862681,1.186365960024912e-48,0.023150134116940804,20231022T1700,-1.3371978728442335,-0.9858034782482685,7.376544176297032e-39,0.032873339265103836,20231122T1330
-1.401436801386211,-0.9880673038174034,1.169855700431447e-40,0.03153197719989564,20240111T0900,-1.2011834849057694,-0.9648784619900926,1.613484125424503e-29,0.04720312274909836,20230614T1130,-1.3887847954911103,-0.9893755999529456,7.31169308956647e-42,0.029455319640804375,20230621T0930
-1.121382000186201,-0.9552860890636485,4.761755084767755e-27,0.0500986464581277,20230210T1500,-1.4238364900956322,-0.9909000985314792,1.806905548428166e-43,0.027915969011886373,20230310T1830,-1.2099012799029125,-0.9856908561517712,8.905742228123885e-39,0.02986422386471505,20231120T1300
-1.3599352949307244,-0.9848452487639475,3.49970807734991e-38,0.03456745168770771,20230414T1500,-0.9789356921659709,-0.965001012825996,1.4856919976143848e-29,0.038398556902140515,20231114T1630,-1.5450799832880617,-0.9818643803207232,2.5190388168645746e-36,0.04306079150053745,20230613T1300
